,protein,ligand1,ligand2,ATM_ddG,error,exp_ddG,MAE
33,JNK1,m28,m24,0.21,0.21,0.21,0.0
34,JNK1,m29,m27,0.03,0.17,0.19,0.16
35,JNK1,m31,m24,0.89,0.23,0.92,0.03
36,JNK1,m31,m52,-0.86,0.25,-1.27,0.41
37,JNK1,m31,m60,1.1,0.25,0.71,0.39
38,JNK1,m32,m24,0.83,0.23,0.59,0.24
39,JNK1,m33,m24,0.41,0.23,0.68,0.27
40,JNK1,m34,m37,-0.8,0.27,-0.15,0.65
41,JNK1,m35,m24,-1.24,0.23,-1.21,0.03
42,JNK1,m35,m25,0.12,0.23,-0.82,0.94
43,JNK1,m37,m31,0.32,0.24,0.73,0.41
44,JNK1,m38,m34,-0.06,0.24,0.1,0.16
45,JNK1,m38,m58,2.7,0.19,0.39,2.31
46,JNK1,m39,m34,1.55,0.27,-0.25,1.8
47,JNK1,m39,m58,1.49,0.17,0.04,1.45
48,JNK1,m59,m34,0.75,0.26,-0.53,1.28
49,TYK2,m01,m04,-2.27,0.25,-1.77,0.5
50,TYK2,m01,m06,1.36,0.22,1.28,0.07
51,TYK2,m01,m07,-1.33,0.22,-1.44,0.11
52,TYK2,m01,m09,0.17,0.23,-0.02,0.19
53,TYK2,m01,m12,-0.56,0.24,0.54,1.1
54,TYK2,m03,m15,-0.37,0.22,-0.8,0.43
55,TYK2,m05,m16,-0.55,0.22,-1.32,0.77
56,TYK2,m06,m05,-0.33,0.23,-0.95,0.62
57,TYK2,m07,m02,0.54,0.18,0.04,0.5
58,TYK2,m07,m11,-0.5,0.22,-0.3,0.2
59,TYK2,m08,m01,-2.57,0.24,-1.79,0.78
60,TYK2,m08,m03,-0.86,0.24,-1.23,0.38
61,TYK2,m09,m15,-0.96,0.22,-0.22,0.74
62,TYK2,m10,m05,-2.11,0.24,-1.79,0.32
63,TYK2,m10,m15,-1.65,0.27,-2.36,0.71
64,TYK2,m13,m01,0.09,0.22,0.16,0.07
65,TYK2,m13,m05,0.04,0.22,0.49,0.44
66,TYK2,m14,m02,0.8,0.25,0.76,0.04
67,TYK2,m14,m04,0.33,0.22,0.39,0.06
68,TYK2,m14,m05,1.77,0.23,2.49,0.72
69,TYK2,m14,m11,-0.67,0.24,0.42,1.09
70,TYK2,m15,m05,1.14,0.22,0.57,0.57
71,TYK2,m15,m12,0.53,0.22,0.78,0.25
72,TYK2,m15,m16,-0.12,0.22,-0.75,0.62
73,hif2a,m02,m03,-2.88,0.25,-1.42,1.46
74,hif2a,m02,m20,-0.23,0.22,-0.61,0.38
75,hif2a,m02,m21,-1.55,0.24,-1.9,0.35
76,hif2a,m02,m28,-2.47,0.23,-1.8,0.67
77,hif2a,m02,m41,-1.76,0.23,-1.58,0.18
78,hif2a,m03,m06,0.68,0.2,-1.2,1.88
79,hif2a,m03,m20,3.42,0.23,0.81,2.61
80,hif2a,m04,m14,0.38,0.24,-0.57,0.95
81,hif2a,m05,m23,-0.93,0.22,1.63,2.56
82,hif2a,m05,m32,3.96,0.22,2.99,0.97
83,hif2a,m05,m41,-0.78,0.23,0.28,1.06
84,hif2a,m06,m28,0.96,0.25,0.82,0.14
85,hif2a,m06,m30,0.75,0.23,1.33,0.58
86,hif2a,m06,m33,4.4,0.25,1.77,2.63
87,hif2a,m06,m39,0.07,0.24,0.28,0.21
88,hif2a,m07,m13,2.08,0.23,0.71,1.37
89,hif2a,m07,m18,0.3,0.24,-0.24,0.54
90,hif2a,m07,m33,1.75,0.26,0.0,1.75
91,hif2a,m08,m38,3.55,0.24,0.74,2.81
92,hif2a,m12,m16,1.56,0.22,-0.94,2.5
93,hif2a,m12,m17,2.38,0.24,0.5,1.88
94,hif2a,m12,m23,-0.5,0.23,0.8,1.3
95,hif2a,m12,m29,2.87,0.24,2.97,0.1
96,hif2a,m29,m40,-4.73,0.25,-3.36,1.37
97,hif2a,m32,m39,-5.67,0.18,-3.47,2.2
98,hif2a,m33,m37,-0.95,0.24,-0.15,0.8
99,hif2a,m34,m39,-1.64,0.22,-3.98,2.34
100,hif2a,m39,m41,0.56,0.27,0.76,0.2
101,p38,m2e,m2j,1.35,0.25,0.62,0.73
102,p38,m2g,m2c,1.77,0.23,0.2,1.57
103,p38,m2g,m2f,1.62,0.21,2.18,0.56
104,p38,m2g,m2h,0.29,0.22,1.18,0.89
105,p38,m2g,m2i,0.66,0.23,0.61,0.05
106,p38,m2j,m2f,1.19,0.23,1.6,0.41
107,p38,m2j,m2h,-0.9,0.23,0.6,1.5
108,p38,m2j,m2q,-4.04,0.24,-2.18,1.86
109,p38,m2j,m2r,-2.62,0.24,-0.71,1.91
110,p38,m2j,mff,-1.23,0.24,-1.36,0.13
111,p38,m2l,m2j,5.0,0.23,2.18,2.82
112,p38,m2l,m2n,0.12,0.23,0.41,0.29
113,p38,m2l,m2o,3.19,0.24,1.77,1.42
114,p38,m2l,m2p,0.91,0.24,1.06,0.15
115,p38,m2m,m2j,3.35,0.23,0.88,2.47
116,p38,m2m,m2k,3.47,0.23,0.41,3.06
117,p38,m2s,m2l,-2.35,0.22,-1.15,1.2
118,p38,m2t,m2j,1.07,0.23,1.77,0.7
119,p38,m2u,m2k,3.8,0.62,1.71,2.09
120,p38,m2u,m2q,-0.38,0.36,0.0,0.38
121,p38,m2v,m2j,0.12,0.23,-1.11,1.23
122,p38,m2v,m2x,-1.92,0.23,-1.26,0.66
123,p38,m2v,m2y,-1.78,0.23,-0.8,0.98
124,p38,m2v,mbb,-0.49,0.47,-0.09,0.4
125,p38,m2v,mln,-1.97,0.22,-1.91,0.06
126,p38,m2v,mly,-1.98,0.23,-2.45,0.47
127,p38,m2v,mmh,-1.11,0.24,-1.85,0.74
128,p38,m2v,mmk,-3.25,0.24,-2.86,0.39
129,p38,m2z,m2y,1.87,0.24,0.58,1.29
130,p38,m2z,maa,2.16,0.22,1.09,1.07
131,p38,m2z,mlq,0.7,0.24,0.43,0.27
132,p38,m2z,mlw,0.14,0.23,-0.32,0.46
133,p38,m2z,mmk,-1.39,0.24,-1.47,0.08
134,p38,maa,mbb,-1.19,0.24,0.2,1.39
135,p38,maa,mlw,-1.37,0.24,-1.41,0.04
136,p38,mee,m2j,1.14,0.23,2.18,1.04
137,p38,mee,mln,-0.14,0.24,1.38,1.52
138,p38,mgg,m2j,0.47,0.24,0.58,0.11
139,p38,mln,m2e,1.6,0.23,0.18,1.42
140,p38,mln,m2g,0.45,0.21,0.22,0.23
141,p38,mln,m2i,2.17,0.26,0.83,1.34
142,p38,mln,m2k,0.99,0.22,0.33,0.66
143,p38,mln,m2n,-2.31,0.23,-0.97,1.34
144,p38,mln,m2o,0.25,0.24,0.39,0.14
145,p38,mln,m2p,-0.54,0.24,-0.32,0.22
146,p38,mln,m2r,-1.93,0.23,0.09,2.02
147,p38,mln,m2s,-1.68,0.23,-0.23,1.45
148,p38,mln,m2t,-0.4,0.24,-0.97,0.57
149,p38,mln,mff,0.03,0.24,-0.56,0.59
150,p38,mln,mgg,-0.04,0.24,0.22,0.26
151,p38,mln,mlz,0.64,0.23,1.39,0.75
152,p38,mly,m2x,0.19,0.23,1.19,1.0
153,p38,mly,mlq,1.01,0.23,1.49,0.48
154,p38,mly,mmh,0.55,0.23,0.6,0.05
155,p38,mlz,m2c,0.71,0.22,-0.97,1.68
156,p38,mlz,m2g,-0.59,0.22,-1.17,0.58
157,pfkfb3,m19,m37,-0.68,0.25,-2.45,1.77
158,pfkfb3,m19,m70,-0.63,0.27,-2.75,2.12
159,pfkfb3,m20,m39,-0.76,0.32,1.32,2.08
160,pfkfb3,m20,m42,-0.5,0.17,0.05,0.55
161,pfkfb3,m24,m34,-1.25,0.26,-1.1,0.15
162,pfkfb3,m24,m69,-0.42,0.25,-1.84,1.42
163,pfkfb3,m24,m70,-0.65,0.26,-1.43,0.78
164,pfkfb3,m26,m69,-2.83,0.24,-1.55,1.28
165,pfkfb3,m26,m70,-2.05,0.18,-1.13,0.92
166,pfkfb3,m29,m23,-2.79,0.27,1.73,4.52
167,pfkfb3,m29,m54,0.79,0.18,1.47,0.68
168,pfkfb3,m29,m63,-1.42,0.17,1.08,2.5
169,pfkfb3,m29,m70,-3.92,0.2,-0.66,3.26
170,pfkfb3,m30,m56,2.91,0.21,-1.37,4.28
171,pfkfb3,m30,m70,1.99,0.21,-1.11,3.1
172,pfkfb3,m31,m19,1.6,0.23,1.73,0.13
173,pfkfb3,m33,m23,0.0,0.25,0.69,0.69
174,pfkfb3,m33,m36,1.78,0.26,1.17,0.61
175,pfkfb3,m33,m70,-0.07,0.24,-1.7,1.63
176,pfkfb3,m35,m69,-1.57,0.17,-0.58,0.99
177,pfkfb3,m38,m26,1.75,0.18,-0.41,2.16
178,pfkfb3,m38,m39,3.13,0.26,1.56,1.57
179,pfkfb3,m38,m41,-0.04,0.17,1.37,1.41
180,pfkfb3,m39,m37,-1.69,0.27,-2.8,1.11
181,pfkfb3,m47,m20,0.61,0.17,-0.18,0.79
182,pfkfb3,m47,m46,1.08,0.16,0.47,0.61
183,pfkfb3,m48,m20,-0.67,0.24,-0.51,0.16
184,pfkfb3,m48,m47,1.02,0.23,-0.33,1.35
185,pfkfb3,m49,m42,-2.14,0.24,-0.53,1.61
186,pfkfb3,m49,m58,0.13,0.23,-1.2,1.33
187,pfkfb3,m52,m19,-0.64,0.74,2.84,3.48
188,pfkfb3,m52,m46,2.45,0.22,2.54,0.09
189,pfkfb3,m52,m53,0.58,0.23,3.4,2.82
190,pfkfb3,m54,m36,-0.72,0.36,0.74,1.46
191,pfkfb3,m54,m70,-2.86,0.21,-2.12,0.74
192,pfkfb3,m55,m23,0.56,0.24,2.72,2.16
193,pfkfb3,m55,m63,2.1,0.28,2.07,0.03
194,pfkfb3,m56,m69,0.52,0.24,-0.15,0.67
195,pfkfb3,m57,m70,-1.6,0.17,0.17,1.77
196,pfkfb3,m58,m60,2.44,0.24,0.99,1.45
197,pfkfb3,m58,m63,1.68,0.22,0.57,1.11
198,pfkfb3,m58,m68,-1.27,0.25,-0.65,0.62
199,pfkfb3,m59,m35,-3.85,0.23,-2.02,1.83
200,pfkfb3,m59,m47,0.56,0.23,-0.22,0.78
201,pfkfb3,m59,m52,-0.69,0.24,-2.28,1.59
202,pfkfb3,m62,m31,-2.81,0.32,-1.59,1.22
203,pfkfb3,m62,m53,1.66,0.25,0.69,0.97
204,pfkfb3,m62,m70,-1.88,0.23,-2.61,0.73
205,pfkfb3,m63,m36,-2.74,0.26,1.12,3.86
206,pfkfb3,m65,m20,1.16,0.28,0.97,0.19
207,pfkfb3,m65,m34,-2.0,0.23,-0.48,1.52
208,pfkfb3,m65,m63,-0.14,0.22,0.93,1.07
209,pfkfb3,m65,m64,-0.03,0.23,0.07,0.1
210,pfkfb3,m65,m70,-2.08,0.23,-0.82,1.26
211,pfkfb3,m67,m56,0.3,0.24,-0.32,0.62
212,pfkfb3,m67,m57,-0.22,0.24,-0.23,0.01
213,pfkfb3,m67,m64,1.91,0.25,0.82,1.09
214,pfkfb3,m68,m53,4.47,0.22,2.78,1.69
215,pfkfb3,m68,m70,1.1,0.34,-0.53,1.63
216,pfkfb3,m69,m23,1.66,0.26,2.08,0.42
217,pfkfb3,m69,m53,3.43,0.26,3.72,0.29
218,pfkfb3,m69,m60,2.39,0.25,2.57,0.18
219,syk,m02,m29,-1.03,0.23,0.19,1.22
220,syk,m02,m33,2.91,0.23,0.44,2.47
221,syk,m02,m35,0.89,0.23,-0.4,1.29
222,syk,m03,m09,-0.55,0.23,-0.35,0.2
223,syk,m03,m18,-2.49,0.23,-1.28,1.21
224,syk,m03,m19,-1.17,0.25,0.12,1.29
225,syk,m04,m01,-2.17,0.25,-1.94,0.23
226,syk,m04,m02,-0.06,0.22,-0.91,0.85
227,syk,m04,m31,-1.0,0.21,-1.09,0.09
228,syk,m04,m38,0.1,0.2,-0.82,0.92
229,syk,m04,m40,1.62,0.2,0.85,0.77
230,syk,m04,m42,-1.32,0.18,-2.01,0.69
231,syk,m05,m23,0.24,0.17,-0.7,0.94
232,syk,m05,m28,-0.61,0.24,-1.27,0.66
233,syk,m17,m18,-1.09,0.17,-0.7,0.39
234,syk,m17,m34,0.93,0.23,0.6,0.33
235,syk,m24,m25,-2.25,0.18,-0.71,1.54
236,syk,m30,m06,0.42,0.24,-1.2,1.62
237,syk,m30,m37,-1.12,0.26,-1.05,0.07
238,syk,m37,m01,2.83,0.25,-0.56,3.39
239,syk,m38,m06,0.22,0.22,-0.71,0.93
240,syk,m38,m21,-2.17,0.25,-0.52,1.65
241,syk,m38,m27,-0.32,0.22,0.52,0.84
242,syk,m38,m33,1.49,0.17,0.34,1.15
243,syk,m38,m41,1.41,0.16,-0.03,1.44
244,syk,m39,m06,0.37,0.17,-0.12,0.49
245,syk,m39,m07,-0.19,0.22,0.41,0.6
246,syk,m39,m24,2.14,0.17,-0.19,2.33
247,syk,m39,m25,-0.9,0.23,-0.9,0.0
248,syk,m39,m30,0.12,0.17,1.08,0.96
249,syk,m39,m35,1.36,0.16,0.1,1.26
250,syk,m39,m40,3.82,0.17,2.25,1.57
251,syk,m39,m42,-0.17,0.15,-0.6,0.43
252,syk,m42,m08,0.29,0.29,0.87,0.58
253,syk,m42,m19,0.74,0.17,0.12,0.62
254,syk,m42,m25,-2.61,0.17,-0.3,2.31
255,syk,m42,m28,0.75,0.15,-0.2,0.95
256,tnks2,m07,m3b,-1.34,0.15,-3.12,1.78
257,tnks2,m07,m5d,-0.87,0.16,-2.49,1.62
258,tnks2,m07,m5j,-3.31,0.17,-2.69,0.62
259,tnks2,m1a,m5d,-1.49,0.17,-2.33,0.84
260,tnks2,m1b,m1a,2.94,0.21,1.39,1.55
261,tnks2,m1b,m5c,-1.58,0.22,-0.02,1.56
262,tnks2,m1b,m5d,-1.63,0.22,-0.95,0.68
263,tnks2,m1b,m5h,-2.0,0.23,-0.11,1.89
264,tnks2,m1b,m5n,-0.86,0.23,-0.78,0.08
265,tnks2,m3a,m07,1.86,0.21,2.6,0.74
266,tnks2,m3a,m3b,-0.33,0.21,-0.52,0.19
267,tnks2,m3a,m5m,-0.95,0.22,-1.69,0.74
268,tnks2,m5a,m5c,-1.06,0.16,0.8,1.86
269,tnks2,m5a,m5d,0.57,0.15,-0.13,0.7
270,tnks2,m5a,m5j,-1.75,0.16,-0.33,1.42
271,tnks2,m5a,m5k,0.59,0.16,-0.2,0.79
272,tnks2,m5a,m5n,0.27,0.17,0.04,0.23
273,tnks2,m5b,m5c,1.57,0.21,0.51,1.06
274,tnks2,m5b,m5j,-0.03,0.16,-0.61,0.58
275,tnks2,m5b,m5n,1.94,0.17,-0.24,2.18
276,tnks2,m5b,m5o,0.11,0.25,-1.56,1.67
277,tnks2,m5d,m5m,-1.12,0.17,-1.8,0.68
278,tnks2,m5e,m5a,-1.11,0.21,-0.65,0.46
279,tnks2,m5e,m5h,1.26,0.24,0.06,1.2
280,tnks2,m5e,m5i,-2.3,0.23,-1.97,0.33
281,tnks2,m5e,m5k,-0.42,0.22,-0.86,0.44
282,tnks2,m5e,m5n,0.71,0.24,-0.61,1.32
283,tnks2,m5e,m5p,-1.15,0.24,-0.4,0.75
284,tnks2,m5f,m5a,-0.04,0.21,-0.5,0.46
285,tnks2,m5f,m5i,-1.86,0.21,-1.82,0.04
286,tnks2,m5f,m5l,-0.66,0.21,0.17,0.83
287,tnks2,m5g,m5a,1.02,0.22,0.05,0.97
288,tnks2,m5g,m5b,-0.51,0.21,0.33,0.84
289,tnks2,m5g,m5d,0.71,0.22,-0.08,0.79
290,tnks2,m5g,m5h,2.35,0.22,0.76,1.59
291,tnks2,m5h,m5m,-2.34,0.16,-2.64,0.3
292,tnks2,m5i,m5a,1.25,0.22,1.32,0.07
293,tnks2,m5i,m5m,0.88,0.16,-0.61,1.49
294,tnks2,m5i,m5o,-0.59,0.26,0.04,0.63
295,tnks2,m5k,m5d,-0.25,0.16,0.08,0.33
296,tnks2,m5l,m5e,0.41,0.24,-0.02,0.43
297,tnks2,m5l,m5j,-0.69,0.22,-0.99,0.3
298,tnks2,m5l,m5p,2.5,0.24,-0.41,2.91
299,tnks2,m5o,m5m,-0.25,0.21,-0.65,0.4
300,tnks2,m5p,m5n,0.19,0.17,-0.21,0.4
