,protein,ligand1,ligand2,ATM_ddG,error,exp_ddG,MAE
64,hif2a,m04,m14,-0.34,0.24,-0.57,0.23
65,hif2a,m05,m23,-1.47,0.24,1.63,3.1
66,hif2a,m05,m32,3.95,0.24,2.99,0.96
67,hif2a,m05,m41,-2.07,0.25,0.28,2.35
68,hif2a,m06,m28,1.52,0.23,0.82,0.7
69,hif2a,m06,m30,3.42,0.25,1.33,2.09
70,hif2a,m06,m33,1.86,0.24,1.77,0.09
71,hif2a,m06,m39,0.16,0.23,0.28,0.12
72,hif2a,m07,m13,4.17,0.26,0.71,3.46
73,hif2a,m07,m18,-1.13,0.24,-0.24,0.89
74,hif2a,m07,m27,-4.08,0.24,-1.02,3.06
75,hif2a,m07,m33,-2.07,0.24,0.0,2.07
76,hif2a,m08,m38,0.08,0.23,0.74,0.66
77,hif2a,m12,m16,0.19,0.24,-0.94,1.13
78,hif2a,m12,m17,-0.56,0.24,0.5,1.06
79,hif2a,m12,m23,-0.32,0.22,0.8,1.12
80,hif2a,m12,m29,0.62,0.24,2.97,2.35
81,hif2a,m29,m40,-2.85,0.24,-3.36,0.51
82,hif2a,m32,m39,-5.16,0.28,-3.47,1.69
83,hif2a,m33,m37,4.01,0.26,-0.15,4.16
84,hif2a,m34,m39,-1.7,0.28,-3.98,2.28
85,hif2a,m39,m41,0.11,0.24,0.76,0.65
86,p38,2aa,2bb,1.14,0.24,0.2,0.94
87,p38,2aa,3flw,-1.0,0.25,-1.41,0.41
88,p38,2e,2j,0.98,0.24,0.62,0.36
89,p38,2ee,2j,0.63,0.24,2.18,1.55
90,p38,2ee,3fln,3.07,0.24,1.38,1.69
91,p38,2g,2c,1.49,0.24,0.2,1.29
92,p38,2g,2i,0.62,0.24,0.61,0.02
93,p38,2gg,2j,2.42,0.24,0.58,1.84
94,p38,2j,2ff,-1.14,0.25,-1.36,0.22
95,p38,2j,2h,2.78,0.21,0.6,2.18
96,p38,2j,2r,-2.34,0.24,-0.71,1.63
97,p38,2l,2j,2.53,0.24,2.18,0.35
98,p38,2l,2o,1.01,0.21,1.77,0.76
99,p38,2l,2p,3.45,0.25,1.06,2.39
100,p38,2t,2j,4.59,0.25,1.77,2.82
101,p38,2v,2bb,-0.67,0.24,-0.09,0.58
102,p38,2v,2j,-0.62,0.24,-1.11,0.5
103,p38,2v,2x,-1.03,0.24,-1.26,0.23
104,p38,2v,2y,-2.15,0.2,-0.8,1.35
105,p38,2v,3fln,-1.57,0.24,-1.91,0.34
106,p38,2v,3fly,-0.19,0.23,-2.45,2.26
107,p38,2v,3fmh,-1.72,0.24,-1.85,0.13
108,p38,2v,3fmk,-2.86,0.24,-2.86,0.0
109,p38,2z,2y,0.49,0.24,0.58,0.09
110,p38,2z,3flq,-0.82,0.24,0.43,1.25
111,p38,2z,3flw,-0.76,0.25,-0.32,0.44
112,p38,2z,3fmk,-1.32,0.25,-1.47,0.15
113,p38,3fln,2e,1.34,0.24,0.18,1.16
114,p38,3fln,2ff,0.24,0.24,-0.56,0.8
115,p38,3fln,2g,0.29,0.24,0.22,0.07
116,p38,3fln,2gg,0.8,0.25,0.22,0.58
117,p38,3fln,2i,1.28,0.24,0.83,0.45
118,p38,3fln,2k,1.11,0.23,0.33,0.78
119,p38,3fln,2o,-0.43,0.24,0.39,0.82
120,p38,3fln,2p,-1.15,0.26,-0.32,0.83
121,p38,3fln,2r,-1.55,0.24,0.09,1.64
122,p38,3fln,2s,-1.14,0.26,-0.23,0.91
123,p38,3fln,2t,1.4,0.24,-0.97,2.37
124,p38,3fln,3flz,1.52,0.24,1.39,0.14
125,p38,3fly,2x,0.3,0.23,1.19,0.89
126,p38,3fly,3flq,0.73,0.21,1.49,0.76
127,p38,3fly,3fmh,-0.46,0.23,0.6,1.06
128,pfkfb3,m20,m42,-0.3,0.24,0.05,0.35
129,pfkfb3,m24,m34,-3.51,0.24,-1.1,2.41
130,pfkfb3,m24,m69,-3.43,0.24,-1.84,1.59
131,pfkfb3,m24,m70,-3.08,0.26,-1.43,1.66
132,pfkfb3,m26,m70,-2.87,0.34,-1.13,1.74
133,pfkfb3,m29,m54,1.36,0.24,1.47,0.11
134,pfkfb3,m29,m63,-1.71,0.27,1.08,2.79
135,pfkfb3,m29,m70,-3.21,0.25,-0.66,2.55
136,pfkfb3,m31,m19,4.08,0.24,1.73,2.35
137,pfkfb3,m35,m69,0.21,0.24,-0.58,0.79
138,pfkfb3,m38,m26,2.6,0.25,-0.41,3.01
139,pfkfb3,m38,m39,1.71,0.24,1.56,0.15
140,pfkfb3,m38,m41,-0.45,0.27,1.37,1.82
141,pfkfb3,m47,m20,-1.6,0.28,-0.18,1.42
142,pfkfb3,m47,m46,-1.63,0.23,0.47,2.1
143,pfkfb3,m48,m20,-0.79,0.24,-0.51,0.28
144,pfkfb3,m48,m47,0.73,0.25,-0.33,1.06
145,pfkfb3,m49,m42,-1.94,0.25,-0.53,1.41
146,pfkfb3,m49,m58,-2.91,0.23,-1.2,1.71
147,pfkfb3,m54,m70,-2.84,0.27,-2.12,0.72
148,pfkfb3,m56,m69,0.02,0.24,-0.15,0.17
149,pfkfb3,m57,m70,0.71,0.26,0.17,0.54
150,pfkfb3,m58,m60,2.44,0.24,0.99,1.45
151,pfkfb3,m58,m63,0.74,0.22,0.57,0.17
152,pfkfb3,m59,m35,-1.78,0.24,-2.02,0.23
153,pfkfb3,m59,m47,1.28,0.24,-0.22,1.5
154,pfkfb3,m59,m52,-0.53,0.27,-2.28,1.75
155,pfkfb3,m62,m31,-0.03,0.24,-1.59,1.56
156,pfkfb3,m62,m70,-1.1,0.24,-2.61,1.5
157,pfkfb3,m65,m20,0.04,0.31,0.97,0.93
158,pfkfb3,m65,m34,-0.43,0.32,-0.48,0.05
159,pfkfb3,m65,m63,-0.2,0.22,0.93,1.13
160,pfkfb3,m65,m64,0.18,0.28,0.07,0.11
161,pfkfb3,m65,m70,-2.25,0.23,-0.82,1.43
162,pfkfb3,m67,m56,0.54,0.25,-0.32,0.86
163,pfkfb3,m67,m57,0.65,0.26,-0.23,0.88
164,pfkfb3,m67,m64,3.29,0.23,0.82,2.47
165,syk,m02,m29,-1.05,0.26,0.19,1.24
166,syk,m02,m33,0.48,0.25,0.44,0.04
167,syk,m02,m35,0.47,0.27,-0.4,0.87
168,syk,m03,m09,-0.36,0.24,-0.35,0.01
169,syk,m03,m18,-0.9,0.24,-1.28,0.38
170,syk,m03,m19,0.13,0.25,0.12,0.01
171,syk,m04,m02,0.33,0.27,-0.91,1.24
172,syk,m04,m31,-1.36,0.24,-1.09,0.27
173,syk,m04,m38,-3.3,0.25,-0.82,2.48
174,syk,m04,m40,0.24,0.25,0.85,0.61
175,syk,m04,m42,-2.38,0.24,-2.01,0.38
176,syk,m05,m23,0.62,0.25,-0.7,1.32
177,syk,m05,m28,-0.02,0.27,-1.27,1.25
178,syk,m17,m18,-1.1,0.26,-0.7,0.4
179,syk,m17,m34,1.4,0.26,0.6,0.8
180,syk,m24,m25,-0.23,0.27,-0.71,0.48
181,syk,m30,m06,1.61,0.29,-1.2,2.81
182,syk,m30,m07,0.48,0.24,-0.67,1.15
183,syk,m30,m37,-3.33,0.26,-1.05,2.28
184,syk,m37,m01,3.12,0.24,-0.56,3.68
185,syk,m38,m06,0.88,0.33,-0.71,1.59
186,syk,m38,m21,-2.94,0.26,-0.52,2.42
187,syk,m38,m27,1.71,0.24,0.52,1.19
188,syk,m38,m33,2.02,0.24,0.34,1.68
189,syk,m38,m41,0.35,0.25,-0.03,0.38
190,syk,m39,m06,1.17,0.22,-0.12,1.29
191,syk,m39,m07,1.1,0.28,0.41,0.69
192,syk,m39,m24,1.8,0.25,-0.19,1.99
193,syk,m39,m25,0.27,0.27,-0.9,1.17
194,syk,m39,m30,-0.13,0.24,1.08,1.21
195,syk,m39,m35,1.84,0.26,0.1,1.74
196,syk,m39,m40,4.17,0.31,2.25,1.92
197,syk,m39,m42,-0.01,0.28,-0.6,0.59
198,syk,m42,m08,-3.49,0.26,0.87,4.36
199,syk,m42,m19,0.48,0.23,0.12,0.36
200,syk,m42,m25,1.54,0.26,-0.3,1.84
201,tnks2,m07,m3b,-0.79,0.27,-3.12,2.33
202,tnks2,m07,m5d,-0.3,0.22,-2.49,2.19
203,tnks2,m07,m5j,-1.86,0.22,-2.69,0.83
204,tnks2,m1a,m5d,-2.03,0.29,-2.33,0.3
205,tnks2,m1b,m1a,1.18,0.3,1.39,0.21
206,tnks2,m1b,m5c,-0.51,0.22,-0.02,0.49
207,tnks2,m1b,m5d,-1.31,0.22,-0.95,0.36
208,tnks2,m1b,m5h,-0.02,0.26,-0.11,0.09
209,tnks2,m1b,m5n,-0.57,0.27,-0.78,0.21
210,tnks2,m3a,m07,0.52,0.25,2.6,2.08
211,tnks2,m3a,m3b,-0.14,0.21,-0.52,0.38
212,tnks2,m3a,m5m,-0.44,0.28,-1.69,1.25
213,tnks2,m5a,m5c,-0.82,0.31,0.8,1.62
214,tnks2,m5a,m5d,-0.28,0.24,-0.13,0.15
215,tnks2,m5a,m5j,-0.98,0.22,-0.33,0.65
216,tnks2,m5a,m5k,0.14,0.23,-0.2,0.34
217,tnks2,m5a,m5n,0.85,0.24,0.04,0.81
218,tnks2,m5b,m5j,-0.76,0.22,-0.61,0.15
219,tnks2,m5b,m5n,1.62,0.24,-0.24,1.86
220,tnks2,m5d,m5m,-0.57,0.26,-1.8,1.23
221,tnks2,m5e,m5a,-0.41,0.22,-0.65,0.24
222,tnks2,m5e,m5h,0.17,0.3,0.06,0.11
223,tnks2,m5e,m5i,-1.52,0.36,-1.97,0.45
224,tnks2,m5e,m5k,-0.56,0.25,-0.86,0.3
225,tnks2,m5e,m5n,1.6,0.26,-0.61,2.21
226,tnks2,m5e,m5p,0.96,0.24,-0.4,1.36
227,tnks2,m5f,m5a,0.45,0.22,-0.5,0.95
228,tnks2,m5f,m5i,-1.13,0.23,-1.82,0.69
229,tnks2,m5f,m5l,-1.25,0.22,0.17,1.42
230,tnks2,m5g,m5a,0.46,0.25,0.05,0.41
231,tnks2,m5g,m5b,-0.32,0.22,0.33,0.65
232,tnks2,m5g,m5d,0.46,0.23,-0.08,0.54
233,tnks2,m5g,m5h,1.17,0.97,0.76,0.41
234,tnks2,m5h,m5m,-1.64,0.24,-2.64,1.0
235,tnks2,m5i,m5a,0.64,0.31,1.32,0.68
236,tnks2,m5i,m5m,0.45,0.22,-0.61,1.06
237,tnks2,m5l,m5e,1.31,0.23,-0.02,1.33
238,tnks2,m5l,m5j,-0.54,0.27,-0.99,0.45
239,tnks2,m5l,m5p,2.55,0.26,-0.41,2.96
240,tnks2,m5p,m5n,1.39,0.26,-0.21,1.6
